stp,"stp	x29, x30, [sp, -32]!","sd	x8, -32(sp)sd	ra, -24(sp)addi	sp, sp, -32 # writeback"
add,"add	x29, sp, 0","addi	x8, sp, 0"
mov,"mov	w0, 32","li	x10, 32"
str,"str	w0, [x29, 20]","sw	x10, 20(x8)"
mov,"mov	w0, 35","li	x10, 35"
str,"str	w0, [x29, 24]","sw	x10, 24(x8)"
str,"str	wzr, [x29, 28]","sw	x0, 28(x8)"
ldr,"ldr	w0, [x29, 20]","lw	x10, 20(x8)"
ldr,"ldr	w1, [x29, 24]","lw	x11, 24(x8)"
mov,"mov x10, x0","mv	x6, x10"
mov,"mov x11, x1","mv	x7, x11"
cmp,"cmp x10, x11","sub	x25, x6, x7"
csel,"csel x0, x10, x11, LE","add	x27, x6, x0 # move option s1 to tempble	x25, x0, 999999f # conditionally branch past moving option s2 to temp add	x27, x7, x0 # move s2 to temp999999:add	x10, x0, x27 # move temp to dest"
str,"str	w0, [x29, 28]","sw	x10, 28(x8)"
adrp,"adrp	x0, .LC0","lui	x10, %hi(.LC0)"
add,"add	x0, x0, :lo12:.LC0","add	x10, x10, %lo(.LC0)"
ldr,"ldr	w1, [x29, 28]","lw	x11, 28(x8)"
bl,bl	printf,call	printf
mov,"mov	w0, 0","li	x10, 0"
ldp,"ldp	x29, x30, [sp], 32","ld	x8, 0(sp)ld	ra, 8(sp)addi	sp, sp, 32 # writeback"
ret,ret,ret
stp,"stp	x29, x30, [sp, -48]!","sd	x8, -48(sp)sd	ra, -40(sp)addi	sp, sp, -48 # writeback"
add,"add	x29, sp, 0","addi	x8, sp, 0"
adrp,"adrp	x0, .LC0","lui	x10, %hi(.LC0)"
add,"add	x0, x0, :lo12:.LC0","add	x10, x10, %lo(.LC0)"
ldr,"ldr	d0, [x0]","fld	f10, 0(x10)"
str,"str	d0, [x29, 16]","fsd	f10, 16(x8)"
adrp,"adrp	x0, .LC1","lui	x10, %hi(.LC1)"
add,"add	x0, x0, :lo12:.LC1","add	x10, x10, %lo(.LC1)"
ldr,"ldr	d0, [x0]","fld	f10, 0(x10)"
str,"str	d0, [x29, 24]","fsd	f10, 24(x8)"
adrp,"adrp	x0, .LC2","lui	x10, %hi(.LC2)"
add,"add	x0, x0, :lo12:.LC2","add	x10, x10, %lo(.LC2)"
ldr,"ldr	d0, [x0]","fld	f10, 0(x10)"
str,"str	d0, [x29, 32]","fsd	f10, 32(x8)"
adrp,"adrp	x0, .LC3","lui	x10, %hi(.LC3)"
add,"add	x0, x0, :lo12:.LC3","add	x10, x10, %lo(.LC3)"
bl,bl	puts,call	puts
